Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,400,400.0,400.0,400,1.0,0.0,400.0,400.0,0.0,400.0,400.0
0.1009605,0.1723535,289.7,400,689.7,689.7,400,1.72,144.85000000000002,544.85,544.85,289.7,496.56666666666666,496.56666666666666
0.20192090000000001,0.37814620000000004,391.1,400,791.1,791.1,400,1.98,195.55,595.55,595.55,391.1,530.3666666666667,530.3666666666667
0.30288139999999997,0.47005500000000006,460.5,400,860.5,860.5,400,2.15,230.25,630.25,630.25,460.5,553.5,553.5
0.4038419,0.5666774,518.7,400,918.7,918.7,400,2.3,259.35,659.35,659.35,518.7,572.9,572.9
0.5048022999999999,0.6907197,568.0,400,968.0,968.0,400,2.42,284.0,684.0,684.0,568.0,589.3333333333334,589.3333333333334
0.5956668,0.7298909,612.8,400,1012.8,1012.8,400,2.53,306.4,706.4,706.4,612.8,604.2666666666667,604.2666666666667
0.6966272,0.7865482,650.8,400,1050.8,1050.8,400,2.63,325.4,725.4,725.4,650.8,616.9333333333333,616.9333333333333
0.7975876999999999,0.8621813,686.5,400,1086.5,1086.5,400,2.72,343.25,743.25,743.25,686.5,628.8333333333334,628.8333333333334
0.8985481999999999,1.056318,718.9,400,1118.9,1118.9,400,2.8,359.45000000000005,759.45,759.45,718.9,639.6333333333333,639.6333333333333
1.2014296,1.3915886,802.3,400,1202.3,1202.3,400,3.01,401.15,801.15,801.15,802.3,667.4333333333333,667.4333333333333
1.504311,1.6229953,867.9,400,1267.9,1267.9,400,3.17,433.95000000000005,833.95,833.95,867.9,689.3000000000001,689.3000000000001
1.7970963999999998,1.9361251,922.4,400,1322.4,1322.4,400,3.31,461.20000000000005,861.2,861.2,922.4,707.4666666666667,707.4666666666667
2.0999778,2.0873861000000002,964.6,400,1364.6,1364.6,400,3.41,482.29999999999995,882.3,882.3,964.6,721.5333333333333,721.5333333333333
2.4028592,2.2689005,993.4,400,1393.4,1393.4,400,3.48,496.70000000000005,896.7,896.7,993.4,731.1333333333333,731.1333333333333
2.7057406,2.4201603,1015.7,400,1415.7,1415.7,400,3.54,507.85,907.85,907.85,1015.7,738.5666666666666,738.5666666666666
2.998526,2.5252396999999998,1034.6,400,1434.6,1434.6,400,3.59,517.3,917.3,917.3,1034.6,744.8666666666667,744.8666666666667
3.3014073999999995,2.6114165000000003,1052.7,400,1452.7,1452.7,400,3.63,526.35,926.35,926.35,1052.7,750.9,750.9
3.6042888000000004,2.76549,1069.0,400,1469.0,1469.0,400,3.67,534.5,934.5,934.5,1069.0,756.3333333333334,756.3333333333334
3.9071702,2.8739409,1084.1,400,1484.1,1484.1,400,3.71,542.05,942.05,942.05,1084.1,761.3666666666667,761.3666666666667
4.1999555,2.9665691,1095.0,400,1495.0,1495.0,400,3.74,547.5,947.5,947.5,1095.0,765.0,765.0
4.5028369999999995,3.0252006000000002,1103.3,400,1503.3,1503.3,400,3.76,551.65,951.65,951.65,1103.3,767.7666666666668,767.7666666666668
4.8057184,3.0705727,1113.7,400,1513.7,1513.7,400,3.78,556.85,956.85,956.85,1113.7,771.2333333333332,771.2333333333332
5.1085998,3.1780939,1120.7,400,1520.7,1520.7,400,3.8,560.35,960.35,960.35,1120.7,773.5666666666666,773.5666666666666
5.4114812,3.244685,1126.6,400,1526.6,1526.6,400,3.82,563.3,963.3,963.3,1126.6,775.5333333333333,775.5333333333333
5.7143626,3.3021361,1128.0,400,1528.0,1528.0,400,3.82,564.0,964.0,964.0,1128.0,776.0,776.0
6.007148,3.3277202,1130.2,400,1530.2,1530.2,400,3.83,565.1,965.1,965.1,1130.2,776.7333333333332,776.7333333333332
6.3100294,3.3608930000000004,1142.5,400,1542.5,1542.5,400,3.86,571.25,971.25,971.25,1142.5,780.8333333333334,780.8333333333334
6.612910800000001,3.4470698,1136.1,400,1536.1,1536.1,400,3.84,568.05,968.05,968.05,1136.1,778.6999999999999,778.6999999999999
6.915792199999999,3.4757953,1136.9,400,1536.9,1536.9,400,3.84,568.45,968.45,968.45,1136.9,778.9666666666667,778.9666666666667
7.2085775000000005,3.5254122,1146.4,400,1546.4,1546.4,400,3.87,573.2,973.2,973.2,1146.4,782.1333333333333,782.1333333333333
7.511458999999999,3.5136609,1140.0,400,1540.0,1540.0,400,3.85,570.0,970.0,970.0,1140.0,780.0,780.0
7.8143404,3.524352,1135.8,400,1535.8,1535.8,400,3.84,567.9,967.9,967.9,1135.8,778.6,778.6
8.117221800000001,3.4789800000000004,1128.5,400,1528.5,1528.5,400,3.82,564.25,964.25,964.25,1128.5,776.1666666666666,776.1666666666666
8.4100071,3.4183442,1126.3,400,1526.3,1526.3,400,3.82,563.15,963.15,963.15,1126.3,775.4333333333334,775.4333333333334
8.7128885,3.4033467999999996,1120.7,400,1520.7,1520.7,400,3.8,560.35,960.35,960.35,1120.7,773.5666666666666,773.5666666666666
9.01577,3.3817843,1116.7,400,1516.7,1516.7,400,3.79,558.35,958.35,958.35,1116.7,772.2333333333332,772.2333333333332
9.3186514,3.3491416000000003,1114.4,400,1514.4,1514.4,400,3.79,557.2,957.2,957.2,1114.4,771.4666666666667,771.4666666666667
9.6114367,3.3661157999999998,1109.6,400,1509.6,1509.6,400,3.77,554.8,954.8,954.8,1109.6,769.8666666666667,769.8666666666667
9.9143181,3.3730922000000003,1095.8,400,1495.8,1495.8,400,3.74,547.9,947.9,947.9,1095.8,765.2666666666668,765.2666666666668
10.2171995,3.3730922000000003,1087.2,400,1487.2,1487.2,400,3.72,543.6,943.6,943.6,1087.2,762.4,762.4
10.520081000000001,3.3413074000000003,1085.0,400,1485.0,1485.0,400,3.71,542.5,942.5,942.5,1085.0,761.6666666666666,761.6666666666666
10.8128663,3.3164989,1075.9,400,1475.9,1475.9,400,3.69,537.95,937.95,937.95,1075.9,758.6333333333333,758.6333333333333
11.1157477,3.2747163,1062.2,400,1462.2,1462.2,400,3.66,531.1,931.1,931.1,1062.2,754.0666666666666,754.0666666666666
11.4186291,3.2342392999999996,1058.1,400,1458.1,1458.1,400,3.65,529.05,929.05,929.05,1058.1,752.6999999999999,752.6999999999999
11.7215105,3.2499078,1045.6,400,1445.6,1445.6,400,3.61,522.8,922.8,922.8,1045.6,748.5333333333333,748.5333333333333
12.014295899999999,3.1676482,1029.5,400,1429.5,1429.5,400,3.57,514.75,914.75,914.75,1029.5,743.1666666666666,743.1666666666666
12.317177299999999,3.1008272999999997,1021.2,400,1421.2,1421.2,400,3.55,510.6,910.6,910.6,1021.2,740.4,740.4
12.6200587,3.0775543,1015.9,400,1415.9,1415.9,400,3.54,507.95000000000005,907.95,907.95,1015.9,738.6333333333333,738.6333333333333
12.9229401,3.0705727,1002.1,400,1402.1,1402.1,400,3.51,501.04999999999995,901.05,901.05,1002.1,734.0333333333333,734.0333333333333
13.2157255,2.9949461,990.5,400,1390.5,1390.5,400,3.48,495.25,895.25,895.25,990.5,730.1666666666666,730.1666666666666
13.5186069,2.9704862,983.5,400,1383.5,1383.5,400,3.46,491.75,891.75,891.75,983.5,727.8333333333334,727.8333333333334
13.8214883,2.9130351,973.0,400,1373.0,1373.0,400,3.43,486.5,886.5,886.5,973.0,724.3333333333334,724.3333333333334
14.1243697,2.8436863,961.9,400,1361.9,1361.9,400,3.4,480.95000000000005,880.95,880.95,961.9,720.6333333333333,720.6333333333333
14.4171551,2.7733243,951.8,400,1351.8,1351.8,400,3.38,475.9,875.9,875.9,951.8,717.2666666666668,717.2666666666668
14.720036499999999,2.6988989,948.4,400,1348.4,1348.4,400,3.37,474.20000000000005,874.2,874.2,948.4,716.1333333333333,716.1333333333333
15.0229179,2.6924251999999997,935.2,400,1335.2,1335.2,400,3.34,467.6,867.6,867.6,935.2,711.7333333333332,711.7333333333332
15.325799300000002,2.6924251999999997,926.3,400,1326.3,1326.3,400,3.32,463.15,863.15,863.15,926.3,708.7666666666668,708.7666666666668
15.6185847,2.6414478000000003,924.4,400,1324.4,1324.4,400,3.31,462.20000000000005,862.2,862.2,924.4,708.1333333333333,708.1333333333333
15.9214661,2.649282,915.9,400,1315.9,1315.9,400,3.29,457.95000000000005,857.95,857.95,915.9,705.3000000000001,705.3000000000001
16.2243475,2.6166393,905.3,400,1305.3,1305.3,400,3.26,452.65,852.65,852.65,905.3,701.7666666666668,701.7666666666668
16.527228899999997,2.5918309,902.5,400,1302.5,1302.5,400,3.26,451.25,851.25,851.25,902.5,700.8333333333334,700.8333333333334
16.8200143,2.5761624,896.9,400,1296.9,1296.9,400,3.24,448.45000000000005,848.45,848.45,896.9,698.9666666666667,698.9666666666667
17.122895699999997,2.5513538999999996,892.0,400,1292.0,1292.0,400,3.23,446.0,846.0,846.0,892.0,697.3333333333334,697.3333333333334
17.4257771,2.5411655,884.4,400,1284.4,1284.4,400,3.21,442.20000000000005,842.2,842.2,884.4,694.8000000000001,694.8000000000001
17.728658499999998,2.5265454,883.5,400,1283.5,1283.5,400,3.21,441.75,841.75,841.75,883.5,694.5,694.5
18.0214439,2.4847628,874.0,400,1274.0,1274.0,400,3.18,437.0,837.0,837.0,874.0,691.3333333333334,691.3333333333334
18.324325299999998,2.4521201,870.0,400,1270.0,1270.0,400,3.18,435.0,835.0,835.0,870.0,690.0,690.0
18.627206700000002,2.4442858000000003,866.8,400,1266.8,1266.8,400,3.17,433.4,833.4,833.4,866.8,688.9333333333334,688.9333333333334
18.9300881,2.3899057,859.7,400,1259.7,1259.7,400,3.15,429.85,829.85,829.85,859.7,686.5666666666666,686.5666666666666
19.2228734,2.4442858000000003,857.0,400,1257.0,1257.0,400,3.14,428.5,828.5,828.5,857.0,685.6666666666666,685.6666666666666
19.5257549,2.4957869,850.2,400,1250.2,1250.2,400,3.13,425.1,825.1,825.1,850.2,683.4,683.4
19.8286363,2.3899057,848.0,400,1248.0,1248.0,400,3.12,424.0,824.0,824.0,848.0,682.6666666666666,682.6666666666666
20.1315177,2.4201603,848.0,400,1248.0,1248.0,400,3.12,424.0,824.0,824.0,848.0,682.6666666666666,682.6666666666666
