Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,50,50.0,50.0,50,1.0,0.0,50.0,50.0,0.0,50.0,50.0
0.10029380000000002,0.1844089,110.0,50,160.0,160.0,50,3.2,55.0,105.0,105.0,110.0,86.66666666666667,86.66666666666667
0.19055829999999999,0.178735,123.8,50,173.8,173.8,50,3.48,61.900000000000006,111.9,111.9,123.8,91.26666666666667,91.26666666666667
0.2908521,0.2127795,135.9,50,185.9,185.9,50,3.72,67.95,117.95,117.95,135.9,95.3,95.3
0.38111659999999997,0.23547619999999997,148.5,50,198.5,198.5,50,3.97,74.25,124.25,124.25,148.5,99.5,99.5
0.48141039999999996,0.24115009999999998,153.8,50,203.8,203.8,50,4.08,76.9,126.9,126.9,153.8,101.26666666666667,101.26666666666667
0.5716749,0.2780321,168.7,50,218.7,218.7,50,4.37,84.35,134.35,134.35,168.7,106.23333333333333,106.23333333333333
0.6619394,0.2553354,178.4,50,228.4,228.4,50,4.57,89.2,139.2,139.2,178.4,109.46666666666665,109.46666666666665
0.7622331999999999,0.24115009999999998,184.8,50,234.8,234.8,50,4.7,92.4,142.4,142.4,184.8,111.60000000000001,111.60000000000001
0.8524976999999999,0.23547619999999997,192.8,50,242.8,242.8,50,4.86,96.4,146.4,146.4,192.8,114.26666666666667,114.26666666666667
1.1533791999999998,0.1985942,204.7,50,254.7,254.7,50,5.09,102.35,152.35,152.35,204.7,118.23333333333333,118.23333333333333
1.4542607,0.1134824,214.8,50,264.8,264.8,50,5.3,107.4,157.4,157.4,214.8,121.60000000000001,121.60000000000001
1.7551422,0.0283706,220.3,50,270.3,270.3,50,5.41,110.15,160.15,160.15,220.3,123.43333333333334,123.43333333333334
2.0560238,-0.0567412,224.6,50,274.6,274.6,50,5.49,112.30000000000001,162.3,162.3,224.6,124.86666666666667,124.86666666666667
2.3569052999999998,-0.141853,230.6,50,280.6,280.6,50,5.61,115.30000000000001,165.3,165.3,230.6,126.86666666666667,126.86666666666667
2.6577868000000002,-0.2269648,231.0,50,281.0,281.0,50,5.62,115.5,165.5,165.5,231.0,127.0,127.0
2.948639,-0.3120766,231.0,50,281.0,281.0,50,5.62,115.5,165.5,165.5,231.0,127.0,127.0
3.2495205,-0.3971884,231.9,50,281.9,281.9,50,5.64,115.94999999999999,165.95,165.95,231.9,127.3,127.3
3.5504019999999996,-0.48230019999999996,229.3,50,279.3,279.3,50,5.59,114.65,164.65,164.65,229.3,126.43333333333334,126.43333333333334
3.8512836000000004,-0.567412,227.1,50,277.1,277.1,50,5.54,113.55000000000001,163.55,163.55,227.1,125.7,125.7
4.1521651,-0.6525238,224.0,50,274.0,274.0,50,5.48,112.0,162.0,162.0,224.0,124.66666666666667,124.66666666666667
4.4530465999999995,-0.7376356,220.5,50,270.5,270.5,50,5.41,110.25,160.25,160.25,220.5,123.5,123.5
4.7539281,-0.7911478,216.9,50,266.9,266.9,50,5.34,108.44999999999999,158.45,158.45,216.9,122.3,122.3
5.0548097,-0.8538542,213.8,50,263.8,263.8,50,5.28,106.9,156.9,156.9,213.8,121.26666666666667,121.26666666666667
5.345661799999999,-0.9462626,210.8,50,260.8,260.8,50,5.22,105.4,155.4,155.4,210.8,120.26666666666667,120.26666666666667
5.6465433,-1.0455597,206.8,50,256.8,256.8,50,5.14,103.4,153.4,153.4,206.8,118.93333333333334,118.93333333333334
5.9474249,-1.1391829,205.0,50,255.0,255.0,50,5.1,102.5,152.5,152.5,205.0,118.33333333333333,118.33333333333333
6.2483064,-1.1959241,202.4,50,252.4,252.4,50,5.05,101.2,151.2,151.2,202.4,117.46666666666665,117.46666666666665
6.549187900000001,-1.2810359,200.0,50,250.0,250.0,50,5.0,100.0,150.0,150.0,200.0,116.66666666666667,116.66666666666667
6.8500695,-1.3718216,196.6,50,246.6,246.6,50,4.93,98.3,148.3,148.3,196.6,115.53333333333335,115.53333333333335
7.150951,-1.4370742,195.3,50,245.3,245.3,50,4.91,97.65,147.65,147.65,195.3,115.10000000000001,115.10000000000001
7.4418031,-1.5647419,193.6,50,243.6,243.6,50,4.87,96.8,146.8,146.8,193.6,114.53333333333335,114.53333333333335
7.742684699999999,-1.5846011,191.4,50,241.4,241.4,50,4.83,95.7,145.7,145.7,191.4,113.8,113.8
8.0435662,-1.6555276,190.0,50,240.0,240.0,50,4.8,95.0,145.0,145.0,190.0,113.33333333333333,113.33333333333333
8.3444477,-1.7548247,189.2,50,239.2,239.2,50,4.78,94.6,144.6,144.6,189.2,113.06666666666666,113.06666666666666
8.6453292,-1.8257512,188.7,50,238.7,238.7,50,4.77,94.35,144.35,144.35,188.7,112.89999999999999,112.89999999999999
8.9462108,-1.8683071,186.9,50,236.9,236.9,50,4.74,93.45,143.45,143.45,186.9,112.3,112.3
9.2470923,-1.9619303000000001,185.6,50,235.6,235.6,50,4.71,92.8,142.8,142.8,185.6,111.86666666666667,111.86666666666667
9.5479738,-2.0186715,184.7,50,234.7,234.7,50,4.69,92.35,142.35,142.35,184.7,111.56666666666666,111.56666666666666
9.838826000000001,-2.1037833,183.9,50,233.9,233.9,50,4.68,91.95,141.95,141.95,183.9,111.3,111.3
10.1397075,-2.1520131,182.5,50,232.5,232.5,50,4.65,91.25,141.25,141.25,182.5,110.83333333333333,110.83333333333333
10.440589,-2.194569,180.8,50,230.8,230.8,50,4.62,90.4,140.4,140.4,180.8,110.26666666666667,110.26666666666667
10.7414706,-2.2881922,180.0,50,230.0,230.0,50,4.6,90.0,140.0,140.0,180.0,110.0,110.0
11.0523815,-2.3449334,178.1,50,228.1,228.1,50,4.56,89.05,139.05,139.05,178.1,109.36666666666667,109.36666666666667
