Deform_axial;Deform_Vol;Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;50
0.001002938;0.001844089;110;50
0.001905583;0.00178735;123.8;50
0.002908521;0.002127795;135.9;50
0.003811166;0.002354762;148.5;50
0.004814104;0.002411501;153.8;50
0.005716749;0.002780321;168.7;50
0.006619394;0.002553354;178.4;50
0.007622332;0.002411501;184.8;50
0.008524977;0.002354762;192.8;50
0.011533792;0.001985942;204.7;50
0.014542607;0.001134824;214.8;50
0.017551422;0.000283706;220.3;50
0.020560238;-0.000567412;224.6;50
0.023569053;-0.00141853;230.6;50
0.026577868;-0.002269648;231;50
0.02948639;-0.003120766;231;50
0.032495205;-0.003971884;231.9;50
0.03550402;-0.004823002;229.3;50
0.038512836;-0.00567412;227.1;50
0.041521651;-0.006525238;224;50
0.044530466;-0.007376356;220.5;50
0.047539281;-0.007911478;216.9;50
0.050548097;-0.008538542;213.8;50
0.053456618;-0.009462626;210.8;50
0.056465433;-0.010455597;206.8;50
0.059474249;-0.011391829;205;50
0.062483064;-0.011959241;202.4;50
0.065491879;-0.012810359;200;50
0.068500695;-0.013718216;196.6;50
0.07150951;-0.014370742;195.3;50
0.074418031;-0.015647419;193.6;50
0.077426847;-0.015846011;191.4;50
0.080435662;-0.016555276;190;50
0.083444477;-0.017548247;189.2;50
0.086453292;-0.018257512;188.7;50
0.089462108;-0.018683071;186.9;50
0.092470923;-0.019619303;185.6;50
0.095479738;-0.020186715;184.7;50
0.09838826;-0.021037833;183.9;50
0.101397075;-0.021520131;182.5;50
0.10440589;-0.02194569;180.8;50
0.107414706;-0.022881922;180;50
0.110523815;-0.023449334;178.1;50
0.11353263;-0.023931632;176.4;50
0.116441151;-0.024357191;175.5;50
0.119449967;-0.024726011;173.3;50
0.122458782;-0.025492015;172.4;50
0.125467597;-0.025860835;171.5;50
0.128476413;-0.026144541;171.1;50
0.131485228;-0.026995659;169.8;50
0.134494043;-0.026853806;169.3;50
0.137402565;-0.027704924;168;50
0.14041138;-0.02798863;167.5;50
0.143420195;-0.028896487;166.7;50
0.14642901;-0.029180193;165.3;50
0.149437826;-0.029265307;164.5;50
0.152446641;-0.029605752;163.1;50
0.155455456;-0.030315017;161.4;50
0.158464272;-0.030740576;160.9;50
0.161372793;-0.031307988;160.9;50
0.164381608;-0.031251249;160;50
0.167390424;-0.032017253;158.7;50
0.170399239;-0.032102367;157.4;50
0.173408054;-0.032669779;156.7;50
0.176416869;-0.033237191;155.2;50
0.179425685;-0.03366275;154.2;50
0.1824345;-0.033804603;153.9;50
0.185343021;-0.033804603;152.6;50
0.188351837;-0.034797574;152.6;50
0.191360652;-0.034996165;151.2;50
0.194369467;-0.035223133;150.4;50
0.197378283;-0.035421724;150;50
0.200387098;-0.035847283;150;50
0.203395913;-0.036074251;149;50
