Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
4.4521103,0.836371,342.8,100,442.8,442.8,100,4.43,171.4,271.4,271.4,342.8,214.26666666666665,214.26666666666665
4.7536076,0.836371,344.1,100,444.1,444.1,100,4.44,172.05,272.05,272.05,344.1,214.70000000000002,214.70000000000002
5.045055,0.801762,345.5,100,445.5,445.5,100,4.46,172.75,272.75,272.75,345.5,215.16666666666666,215.16666666666666
5.3465523,0.793111,346.8,100,446.8,446.8,100,4.47,173.4,273.4,273.4,346.8,215.6,215.6
5.6379997,0.7585021,349.6,100,449.6,449.6,100,4.5,174.8,274.8,274.8,349.6,216.53333333333333,216.53333333333333
5.939497,0.7354303000000001,350.8,100,450.8,450.8,100,4.51,175.4,275.4,275.4,350.8,216.9333333333333,216.9333333333333
6.2309444,0.7210095,350.6,100,450.6,450.6,100,4.51,175.3,275.3,275.3,350.6,216.86666666666667,216.86666666666667
6.5223918,0.7065899,350.8,100,450.8,450.8,100,4.51,175.4,275.4,275.4,350.8,216.9333333333333,216.9333333333333
6.8238892,0.6777495,352.1,100,452.1,452.1,100,4.52,176.05,276.05,276.05,352.1,217.36666666666667,217.36666666666667
7.115336599999999,0.6575601,351.5,100,451.5,451.5,100,4.51,175.75,275.75,275.75,351.5,217.16666666666666,217.16666666666666
7.4168339,0.6287197,347.8,100,447.8,447.8,100,4.48,173.9,273.9,273.9,347.8,215.9333333333333,215.9333333333333
7.7082813,0.6200688,348.1,100,448.1,448.1,100,4.48,174.05,274.05,274.05,348.1,216.03333333333333,216.03333333333333
8.0097786,0.6056479,346.8,100,446.8,446.8,100,4.47,173.4,273.4,273.4,346.8,215.6,215.6
8.301226,0.562388,344.1,100,444.1,444.1,100,4.44,172.05,272.05,272.05,344.1,214.70000000000002,214.70000000000002
8.6027233,0.527779,342.8,100,442.8,442.8,100,4.43,171.4,271.4,271.4,342.8,214.26666666666665,214.26666666666665
8.8941707,0.5047073,337.8,100,437.8,437.8,100,4.38,168.9,268.9,268.9,337.8,212.6,212.6
9.1856181,0.5047073,335.4,100,435.4,435.4,100,4.35,167.7,267.7,267.7,335.4,211.79999999999998,211.79999999999998
9.4871154,0.4845179,331.3,100,431.3,431.3,100,4.31,165.65,265.65,265.65,331.3,210.4333333333333,210.4333333333333
9.7785628,0.4556775,326.7,100,426.7,426.7,100,4.27,163.35,263.35,263.35,326.7,208.9,208.9
10.0800601,0.4556775,323.1,100,423.1,423.1,100,4.23,161.55,261.55,261.55,323.1,207.70000000000002,207.70000000000002
10.3715075,0.4124175,321.3,100,421.3,421.3,100,4.21,160.65,260.65,260.65,321.3,207.1,207.1
10.6730048,0.3749249,316.6,100,416.6,416.6,100,4.17,158.3,258.3,258.3,316.6,205.53333333333333,205.53333333333333
10.9644522,0.3605054,314.4,100,414.4,414.4,100,4.14,157.2,257.2,257.2,314.4,204.79999999999998,204.79999999999998
11.265949599999999,0.3605054,309.5,100,409.5,409.5,100,4.1,154.75,254.75,254.75,309.5,203.16666666666666,203.16666666666666
11.557397,0.340316,305.2,100,405.2,405.2,100,4.05,152.6,252.6,252.6,305.2,201.73333333333335,201.73333333333335
11.848844399999999,0.2884038,302.2,100,402.2,402.2,100,4.02,151.1,251.1,251.1,302.2,200.73333333333335,200.73333333333335
12.1503417,0.24514379999999997,296.2,100,396.2,396.2,100,3.96,148.1,248.1,248.1,296.2,198.73333333333335,198.73333333333335
12.441789100000001,0.21630349999999998,292.6,100,392.6,392.6,100,3.93,146.3,246.3,246.3,292.6,197.53333333333333,197.53333333333333
12.7432864,0.21630349999999998,286.9,100,386.9,386.9,100,3.87,143.45,243.45,243.45,286.9,195.63333333333333,195.63333333333333
13.034733800000001,0.2105349,283.4,100,383.4,383.4,100,3.83,141.7,241.7,241.7,283.4,194.46666666666667,194.46666666666667
13.336231100000001,0.167275,280.0,100,380.0,380.0,100,3.8,140.0,240.0,240.0,280.0,193.33333333333334,193.33333333333334
13.627678500000002,0.1442019,275.8,100,375.8,375.8,100,3.76,137.9,237.9,237.9,275.8,191.9333333333333,191.9333333333333
13.9291758,0.1528541,273.8,100,373.8,373.8,100,3.74,136.9,236.9,236.9,273.8,191.26666666666665,191.26666666666665
14.220623199999999,0.11536149999999999,272.7,100,372.7,372.7,100,3.73,136.35,236.35,236.35,272.7,190.9,190.9
14.5221205,0.09517339999999999,270.2,100,370.2,370.2,100,3.7,135.1,235.1,235.1,270.2,190.0666666666667,190.0666666666667
14.813567899999999,0.100942,269.1,100,369.1,369.1,100,3.69,134.55,234.55,234.55,269.1,189.70000000000002,189.70000000000002
15.1050153,0.0721016,265.7,100,365.7,365.7,100,3.66,132.85,232.85,232.85,265.7,188.5666666666667,188.5666666666667
15.4065126,0.0807538,263.7,100,363.7,363.7,100,3.64,131.85,231.85,231.85,263.7,187.9,187.9
15.69796,0.06633299999999999,262.7,100,362.7,362.7,100,3.63,131.35,231.35,231.35,262.7,187.5666666666667,187.5666666666667
15.9994574,0.057680800000000004,261.6,100,361.6,361.6,100,3.62,130.8,230.8,230.8,261.6,187.20000000000002,187.20000000000002
16.2909048,0.0374926,260.9,100,360.9,360.9,100,3.61,130.45,230.45,230.45,260.9,186.96666666666667,186.96666666666667
16.5924021,0.0374926,259.4,100,359.4,359.4,100,3.59,129.7,229.7,229.7,259.4,186.46666666666667,186.46666666666667
16.8838495,0.00865,258.3,100,358.3,358.3,100,3.58,129.15,229.15,229.15,258.3,186.1,186.1
17.1853468,0.0144208,258.1,100,358.1,358.1,100,3.58,129.05,229.05,229.05,258.1,186.03333333333333,186.03333333333333
17.4767942,-0.028840400000000002,257.6,100,357.6,357.6,100,3.58,128.8,228.8,228.8,257.6,185.86666666666667,185.86666666666667
17.7682416,-0.0201881,256.9,100,356.9,356.9,100,3.57,128.45,228.45,228.45,256.9,185.63333333333333,185.63333333333333
18.0697389,-0.0432599,255.6,100,355.6,355.6,100,3.56,127.80000000000001,227.8,227.8,255.6,185.20000000000002,185.20000000000002
18.3611863,-0.0346077,252.9,100,352.9,352.9,100,3.53,126.44999999999999,226.45,226.45,252.9,184.29999999999998,184.29999999999998
18.662683599999998,-0.0346077,252.9,100,352.9,352.9,100,3.53,126.44999999999999,226.45,226.45,252.9,184.29999999999998,184.29999999999998
18.954131,-0.0778689,252.2,100,352.2,352.2,100,3.52,126.1,226.1,226.1,252.2,184.0666666666667,184.0666666666667
19.255628299999998,-0.08652109999999999,250.0,100,350.0,350.0,100,3.5,125.0,225.0,225.0,250.0,183.33333333333334,183.33333333333334
19.6174251,-0.08652109999999999,250.6,100,350.6,350.6,100,3.51,125.30000000000001,225.3,225.3,250.6,183.53333333333333,183.53333333333333
19.878722800000002,-0.0922885,250.9,100,350.9,350.9,100,3.51,125.44999999999999,225.45,225.45,250.9,183.63333333333333,183.63333333333333
