Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,100,100.0,100.0,100,1.0,0.0,100.0,100.0,0.0,100.0,100.0
0.1004991,0.0519122,86.9,100,186.9,186.9,100,1.87,43.45,143.45,143.45,86.9,128.96666666666667,128.96666666666667
0.2009982,0.1384333,110.9,100,210.9,210.9,100,2.11,55.45,155.45,155.45,110.9,136.96666666666667,136.96666666666667
0.30149729999999997,0.18746310000000002,127.9,100,227.9,227.9,100,2.28,63.95,163.95,163.95,127.9,142.63333333333333,142.63333333333333
0.41204630000000003,0.24514379999999997,143.7,100,243.7,243.7,100,2.44,71.85,171.85,171.85,143.7,147.9,147.9
0.5024955,0.2884038,159.6,100,259.6,259.6,100,2.6,79.80000000000001,179.8,179.8,159.6,153.20000000000002,153.20000000000002
0.6029945999999999,0.3691563,171.8,100,271.8,271.8,100,2.72,85.9,185.9,185.9,171.8,157.26666666666668,157.26666666666668
0.7034937,0.3835772,184.9,100,284.9,284.9,100,2.85,92.44999999999999,192.45,192.45,184.9,161.63333333333333,161.63333333333333
0.8039928,0.4614461,196.5,100,296.5,296.5,100,2.96,98.25,198.25,198.25,196.5,165.5,165.5
0.9044919,0.4845179,207.0,100,307.0,307.0,100,3.07,103.5,203.5,203.5,207.0,169.0,169.0
1.1959393,0.6143002,233.0,100,333.0,333.0,100,3.33,116.5,216.5,216.5,233.0,177.66666666666666,177.66666666666666
1.4974366,0.6489091,258.8,100,358.8,358.8,100,3.59,129.4,229.4,229.4,258.8,186.26666666666665,186.26666666666665
1.7888841,0.7498498,279.3,100,379.3,379.3,100,3.79,139.65,239.65,239.65,279.3,193.1,193.1
2.0903814,0.7873425,295.8,100,395.8,395.8,100,3.96,147.9,247.9,247.9,295.8,198.6,198.6
2.3818288,0.8161828,309.1,100,409.1,409.1,100,4.09,154.55,254.55,254.55,309.1,203.03333333333333,203.03333333333333
2.6833261,0.8306024000000001,317.5,100,417.5,417.5,100,4.18,158.75,258.75,258.75,317.5,205.83333333333334,205.83333333333334
2.9747735,0.8450232,326.9,100,426.9,426.9,100,4.27,163.45,263.45,263.45,326.9,208.96666666666667,208.96666666666667
3.2762708000000003,0.8882831000000001,329.6,100,429.6,429.6,100,4.3,164.8,264.8,264.8,329.6,209.86666666666667,209.86666666666667
3.5677182000000003,0.8507918,333.5,100,433.5,433.5,100,4.34,166.75,266.75,266.75,333.5,211.16666666666666,211.16666666666666
3.8591656000000003,0.8738636,336.6,100,436.6,436.6,100,4.37,168.3,268.3,268.3,336.6,212.20000000000002,212.20000000000002
4.1606629,0.8594428,339.0,100,439.0,439.0,100,4.39,169.5,269.5,269.5,339.0,213.0,213.0
