Deform_axial;Deform_Vol;Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;400
0.001009605;0.001723535;289.7;400
0.002019209;0.003781462;391.1;400
0.003028814;0.00470055;460.5;400
0.004038419;0.005666774;518.7;400
0.005048023;0.006907197;568;400
0.005956668;0.007298909;612.8;400
0.006966272;0.007865482;650.8;400
0.007975877;0.008621813;686.5;400
0.008985482;0.01056318;718.9;400
0.012014296;0.013915886;802.3;400
0.01504311;0.016229953;867.9;400
0.017970964;0.019361251;922.4;400
0.020999778;0.020873861;964.6;400
0.024028592;0.022689005;993.4;400
0.027057406;0.024201603;1015.7;400
0.02998526;0.025252397;1034.6;400
0.033014074;0.026114165;1052.7;400
0.036042888;0.0276549;1069;400
0.039071702;0.028739409;1084.1;400
0.041999555;0.029665691;1095;400
0.04502837;0.030252006;1103.3;400
0.048057184;0.030705727;1113.7;400
0.051085998;0.031780939;1120.7;400
0.054114812;0.03244685;1126.6;400
0.057143626;0.033021361;1128;400
0.06007148;0.033277202;1130.2;400
0.063100294;0.03360893;1142.5;400
0.066129108;0.034470698;1136.1;400
0.069157922;0.034757953;1136.9;400
0.072085775;0.035254122;1146.4;400
0.07511459;0.035136609;1140;400
0.078143404;0.03524352;1135.8;400
0.081172218;0.0347898;1128.5;400
0.084100071;0.034183442;1126.3;400
0.087128885;0.034033468;1120.7;400
0.0901577;0.033817843;1116.7;400
0.093186514;0.033491416;1114.4;400
0.096114367;0.033661158;1109.6;400
0.099143181;0.033730922;1095.8;400
0.102171995;0.033730922;1087.2;400
0.10520081;0.033413074;1085;400
0.108128663;0.033164989;1075.9;400
0.111157477;0.032747163;1062.2;400
0.114186291;0.032342393;1058.1;400
0.117215105;0.032499078;1045.6;400
0.120142959;0.031676482;1029.5;400
0.123171773;0.031008273;1021.2;400
0.126200587;0.030775543;1015.9;400
0.129229401;0.030705727;1002.1;400
0.132157255;0.029949461;990.5;400
0.135186069;0.029704862;983.5;400
0.138214883;0.029130351;973;400
0.141243697;0.028436863;961.9;400
0.144171551;0.027733243;951.8;400
0.147200365;0.026988989;948.4;400
0.150229179;0.026924252;935.2;400
0.153257993;0.026924252;926.3;400
0.156185847;0.026414478;924.4;400
0.159214661;0.02649282;915.9;400
0.162243475;0.026166393;905.3;400
0.165272289;0.025918309;902.5;400
0.168200143;0.025761624;896.9;400
0.171228957;0.025513539;892;400
0.174257771;0.025411655;884.4;400
0.177286585;0.025265454;883.5;400
0.180214439;0.024847628;874;400
0.183243253;0.024521201;870;400
0.186272067;0.024442858;866.8;400
0.189300881;0.023899057;859.7;400
0.192228734;0.024442858;857;400
0.195257549;0.024957869;850.2;400
0.198286363;0.023899057;848;400
0.201315177;0.024201603;848;400
