Deform_axial;Deform_Vol;Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;200
0.001006759;0.000230162;88.128;200
0.001912841;0.000805559;125.55;200
0.0029196;0.002013891;154.872;200
0.003825683;0.002100203;180.63;200
0.004832441;0.002733138;202.095;200
0.005738524;0.003826396;220.077;200
0.006745283;0.003826396;234.495;200
0.007651365;0.004689492;247.779;200
0.008658124;0.006271835;260.334;200
0.0116784;0.007566479;294.516;200
0.014698675;0.008630962;326.754;200
0.017718951;0.010213305;352.917;200
0.020739227;0.011306563;376.974;200
0.023860178;0.012227197;398.439;200
0.026880454;0.013176605;420.633;200
0.02990073;0.013895852;437.481;200
0.032921006;0.014816485;454.086;200
0.035941281;0.015391883;474.255;200
0.038961557;0.015909743;483.975;200
0.041981833;0.01611113;501.147;200
0.045102785;0.016830376;514.107;200
0.04812306;0.017635935;523.665;200
0.051143336;0.017837322;537.678;200
0.054163612;0.018067484;545.535;200
0.057183888;0.018211333;554.688;200
0.060204163;0.018844268;563.76;200
0.063224439;0.019131966;569.997;200
0.066244715;0.019218279;577.692;200
0.069365666;0.019793676;588.708;200
0.072385942;0.019793676;594.702;200
0.075406218;0.019707364;603.369;200
0.078426494;0.020138912;608.472;200
0.08144677;0.019937525;604.584;200
0.084467045;0.019937525;607.824;200
0.087487321;0.020225224;612.036;200
0.090507597;0.020282761;610.092;200
0.093628548;0.020656772;610.983;200
0.096648824;0.020138912;614.466;200
0.0996691;0.020512923;614.061;200
0.102689376;0.020426611;615.033;200
0.105709651;0.020282761;612.846;200
0.108729927;0.020369073;609.768;200
0.111750203;0.020225224;608.472;200
0.114770479;0.020512923;605.394;200
0.11789143;0.020081375;603.45;200
0.120911706;0.019563514;601.02;200
0.123931982;0.019793676;597.78;200
0.126952258;0.019218279;596.16;200
0.129972533;0.019362128;591.3;200
0.132992809;0.019419665;588.06;200
0.136013085;0.018988117;586.44;200
0.139033361;0.01893058;583.2;200
0.142053636;0.018642881;578.34;200
0.145174588;0.018988117;577.53;200
0.148194864;0.018988117;572.67;200
0.151215139;0.018499032;570.24;200
0.154235415;0.018844268;567;200
0.157255691;0.018844268;562.95;200
0.160275967;0.018355182;561.33;200
0.163296242;0.018556569;554.85;200
0.166316518;0.01826887;551.61;200
0.16943747;0.018355182;546.75;200
0.172457746;0.018211333;541.89;200
0.175478021;0.01826887;537.03;200
0.178498297;0.017923634;532.98;200
0.181518573;0.017405774;523.26;200
0.184538849;0.017837322;518.4;200
0.187559124;0.017693473;511.92;200
0.1905794;0.017635935;507.06;200
0.193700352;0.017549623;500.58;200
0.196821303;0.017492086;494.262;200
0.199942255;0.016974226;484.947;200
0.203163882;0.016456365;479.034;200
