Deform_axial_(%),Deform_Vol_(%),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
10.5709651,2.0282761,612.846,200,812.846,812.846,200,4.06,306.423,506.423,506.423,612.846,404.282,404.282
10.872992700000001,2.0369073,609.768,200,809.768,809.768,200,4.05,304.884,504.884,504.884,609.768,403.25600000000003,403.25600000000003
11.1750203,2.0225224,608.472,200,808.472,808.472,200,4.04,304.236,504.236,504.236,608.472,402.824,402.824
11.477047899999999,2.0512923,605.394,200,805.394,805.394,200,4.03,302.697,502.697,502.697,605.394,401.798,401.798
11.789143000000001,2.0081374999999997,603.45,200,803.45,803.45,200,4.02,301.725,501.725,501.725,603.45,401.15000000000003,401.15000000000003
12.0911706,1.9563514,601.02,200,801.02,801.02,200,4.01,300.51,500.51,500.51,601.02,400.34,400.34
12.3931982,1.9793676,597.78,200,797.78,797.78,200,3.99,298.89,498.89,498.89,597.78,399.26,399.26
12.695225800000001,1.9218279,596.16,200,796.16,796.16,200,3.98,298.08,498.08,498.08,596.16,398.71999999999997,398.71999999999997
12.9972533,1.9362127999999998,591.3,200,791.3,791.3,200,3.96,295.65,495.65,495.65,591.3,397.09999999999997,397.09999999999997
13.2992809,1.9419665,588.06,200,788.06,788.06,200,3.94,294.03,494.03,494.03,588.06,396.02,396.02
13.6013085,1.8988117,586.44,200,786.44,786.44,200,3.93,293.22,493.22,493.22,586.44,395.48,395.48
13.903336099999999,1.893058,583.2,200,783.2,783.2,200,3.92,291.6,491.6,491.6,583.2,394.40000000000003,394.40000000000003
14.205363600000002,1.8642881,578.34,200,778.34,778.34,200,3.89,289.17,489.17,489.17,578.34,392.78000000000003,392.78000000000003
14.5174588,1.8988117,577.53,200,777.53,777.53,200,3.89,288.765,488.765,488.765,577.53,392.51,392.51
14.8194864,1.8988117,572.67,200,772.67,772.67,200,3.86,286.335,486.335,486.335,572.67,390.89000000000004,390.89000000000004
15.1215139,1.8499032,570.24,200,770.24,770.24,200,3.85,285.12,485.12,485.12,570.24,390.08,390.08
15.423541499999999,1.8844268000000002,567.0,200,767.0,767.0,200,3.84,283.5,483.5,483.5,567.0,389.0,389.0
